"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
1850,-0.675,-0.359,-0.742,-0.572,-0.41,-0.316,-0.257,-0.336,-0.487,-0.459,-0.282,-0.327,-0.435
1851,-0.308,-0.344,-0.436,-0.419,-0.368,-0.296,-0.282,-0.222,-0.269,-0.184,-0.25,-0.25,-0.302
1852,-0.385,-0.446,-0.508,-0.553,-0.265,-0.194,-0.147,-0.252,-0.257,-0.329,-0.271,-0.049,-0.305
1853,-0.232,-0.416,-0.399,-0.394,-0.34,-0.279,-0.22,-0.261,-0.418,-0.387,-0.281,-0.422,-0.338
1854,-0.376,-0.31,-0.291,-0.376,-0.263,-0.268,-0.267,-0.244,-0.204,-0.25,-0.42,-0.278,-0.296
1855,-0.271,-0.437,-0.372,-0.272,-0.364,-0.28,-0.332,-0.242,-0.375,-0.278,-0.284,-0.533,-0.337
1856,-0.257,-0.421,-0.535,-0.353,-0.246,-0.345,-0.351,-0.366,-0.473,-0.45,-0.631,-0.496,-0.41
1857,-0.566,-0.345,-0.468,-0.641,-0.548,-0.363,-0.528,-0.369,-0.421,-0.498,-0.648,-0.364,-0.48
1858,-0.468,-0.727,-0.568,-0.509,-0.632,-0.535,-0.384,-0.342,-0.407,-0.261,-0.643,-0.372,-0.487
1859,-0.35,-0.255,-0.376,-0.308,-0.338,-0.286,-0.358,-0.19,-0.591,-0.353,-0.371,-0.467,-0.353
1860,-0.245,-0.463,-0.584,-0.39,-0.352,-0.322,-0.222,-0.272,-0.299,-0.272,-0.499,-0.697,-0.385
1861,-0.791,-0.432,-0.45,-0.422,-0.705,-0.197,-0.302,-0.213,-0.39,-0.408,-0.401,-0.221,-0.411
1862,-0.697,-0.774,-0.438,-0.287,-0.259,-0.38,-0.417,-0.666,-0.426,-0.442,-0.733,-0.692,-0.518
1863,0.136,-0.076,-0.391,-0.274,-0.343,-0.44,-0.441,-0.383,-0.401,-0.454,-0.385,-0.323,-0.315
1864,-0.85,-0.571,-0.539,-0.554,-0.405,-0.266,-0.187,-0.364,-0.436,-0.692,-0.479,-0.556,-0.491
1865,-0.215,-0.59,-0.6,-0.192,-0.238,-0.267,-0.184,-0.269,-0.094,-0.347,-0.224,-0.334,-0.296
1866,-0.066,-0.212,-0.596,-0.256,-0.545,-0.042,-0.085,-0.315,-0.296,-0.409,-0.366,-0.354,-0.295
1867,-0.345,0.033,-0.652,-0.23,-0.485,-0.285,-0.312,-0.256,-0.137,-0.24,-0.319,-0.552,-0.315
1868,-0.685,-0.429,-0.064,-0.383,-0.092,-0.217,0.058,-0.149,-0.275,-0.294,-0.511,-0.17,-0.268
1869,-0.162,0.161,-0.571,-0.247,-0.276,-0.391,-0.303,-0.173,-0.233,-0.5,-0.422,-0.325,-0.287
1870,-0.079,-0.397,-0.458,-0.208,-0.178,-0.218,-0.048,-0.244,-0.298,-0.362,-0.201,-0.695,-0.282
1871,-0.448,-0.51,-0.036,-0.155,-0.273,-0.219,-0.085,-0.234,-0.421,-0.487,-0.569,-0.584,-0.335
1872,-0.317,-0.405,-0.489,-0.211,-0.113,-0.221,-0.175,-0.138,-0.208,-0.292,-0.329,-0.427,-0.277
1873,-0.106,-0.41,-0.314,-0.505,-0.402,-0.256,-0.186,-0.21,-0.366,-0.459,-0.48,-0.33,-0.335
1874,-0.026,-0.464,-0.564,-0.498,-0.434,-0.366,-0.179,-0.361,-0.236,-0.445,-0.543,-0.41,-0.377
1875,-0.576,-0.616,-0.605,-0.442,-0.195,-0.249,-0.29,-0.236,-0.33,-0.4,-0.518,-0.41,-0.406
1876,-0.28,-0.272,-0.41,-0.307,-0.47,-0.268,-0.168,-0.273,-0.431,-0.406,-0.565,-0.613,-0.372
1877,-0.299,0.011,-0.324,-0.311,-0.433,-0.113,-0.075,0.03,-0.05,-0.075,-0.014,0.131,-0.127
1878,0.087,0.269,0.236,0.228,-0.122,-0.043,-0.083,-0.074,-0.059,-0.133,-0.141,-0.335,-0.014
1879,-0.22,-0.18,-0.197,-0.236,-0.181,-0.215,-0.218,-0.236,-0.232,-0.205,-0.463,-0.513,-0.258
1880,-0.005,-0.248,-0.189,-0.157,-0.243,-0.313,-0.256,-0.144,-0.241,-0.39,-0.455,-0.319,-0.247
1881,-0.389,-0.272,-0.262,-0.2,-0.076,-0.252,-0.143,-0.159,-0.296,-0.346,-0.417,-0.195,-0.251
1882,0.016,-0.081,-0.082,-0.301,-0.374,-0.35,-0.254,-0.273,-0.177,-0.336,-0.377,-0.483,-0.256
1883,-0.448,-0.35,-0.342,-0.361,-0.309,-0.109,-0.207,-0.225,-0.332,-0.39,-0.321,-0.298,-0.308
1884,-0.344,-0.257,-0.379,-0.482,-0.361,-0.369,-0.357,-0.347,-0.302,-0.301,-0.562,-0.41,-0.373
1885,-0.515,-0.476,-0.407,-0.418,-0.426,-0.464,-0.308,-0.367,-0.28,-0.297,-0.26,-0.134,-0.363
1886,-0.372,-0.475,-0.394,-0.186,-0.115,-0.284,-0.197,-0.202,-0.262,-0.309,-0.393,-0.276,-0.289
1887,-0.403,-0.479,-0.355,-0.376,-0.276,-0.377,-0.231,-0.353,-0.301,-0.49,-0.424,-0.43,-0.374
1888,-0.609,-0.502,-0.558,-0.26,-0.341,-0.265,-0.334,-0.302,-0.254,-0.182,-0.247,-0.226,-0.34
1889,-0.186,-0.172,-0.124,-0.069,-0.127,-0.185,-0.25,-0.279,-0.379,-0.331,-0.421,-0.156,-0.223
1890,-0.297,-0.352,-0.431,-0.331,-0.437,-0.41,-0.428,-0.451,-0.47,-0.504,-0.558,-0.413,-0.423
